Empresa,classeLocalizacao,anosFidelidadeCliente,codigoTipoVeiculo,codigoSucursal,premioLiquidoPagoApolice,valorFranquia,valorPremioFinal,valorDiferencaPremioAnual,valorImportanciaSeguradaCasco,origemProposta,codigoClasseBonus,valorPremioPagoAtual
PORTO,10,-0.4727597620441517,-0.15720230127853604,1.018339439395809,-0.5736140128624232,-0.5371672429683972,-0.2538784406195722,-0.3356229932593296,-0.5441839999798286,-0.8166212301447431,1.1667678431534674,-0.3407557274842247
PORTO,10,-0.6729296700047367,-0.19470397256883504,-0.8509110094330938,-0.197098229845126,0.22302360823209366,-0.0492206799942418,-0.005605172717833751,-0.41145726460952137,1.2184259671767943,-0.6457770080144775,-0.2273483774972073
PORTO,11,-0.2725898540835667,1.6803795919461155,0.6518197435470044,-0.5588721392822256,-0.01413179061094094,-0.2163606605301948,-0.17817894323062566,-0.568773276987953,-0.8166212301447431,-0.9047119867527552,-0.33934807256730604
PORTO,11,-0.8730995779653218,1.4553695642043214,-1.3273866140365396,0.5369986963767992,-0.3116540182503844,0.8288804706952231,0.9010157489059392,0.5329462806687404,1.2184259671767943,-0.1279070505379218,0.17244500809388585
PORTO,12,0.7282596857193585,1.6803795919461155,0.9816874698109284,-0.7937879934804329,-0.01413179061094094,-0.4784505403479911,-0.4800167964453012,-0.5702726231469849,-0.8166212301447431,0.3899629069386337,-0.5119738749958258
PORTO,13,-0.8730995779653218,-0.7947307132136192,-0.5943472223389307,-0.5630245904547698,-0.4272133762320812,-0.8472406624597272,-0.7130523338121806,-0.3346676744030993,1.2184259671767943,1.1667678431534674,-0.018922582716511642
AZUL,10,-0.2725898540835667,-0.3634614933751806,0.7251236827167653,-0.5042183563736901,-0.08915913497219187,-0.2966127982918183,-0.30271208251267834,-0.6492535654319922,-0.8166212301447431,0.9078328644151896,-0.3788903788698403
AZUL,10,-0.8730995779653218,-1.1884982617617588,-1.3273866140365396,0.7880607320760161,0.6619766919088377,0.8204925285901331,1.0113152010615614,1.0992147246391386,1.2184259671767943,1.1667678431534674,-0.13936924440455778
AZUL,11,0.12774996183760334,-0.4384648359557786,-1.3273866140365396,-0.22326270373814736,0.45112398275566706,0.038037998115260034,-0.0798590062324853,-0.2932626535498318,1.2184259671767943,-0.1279070505379218,-0.30310580575319546
AZUL,11,-0.2725898540835667,1.6803795919461155,0.6518197435470044,-0.5588721392822256,-0.01413179061094094,-0.2163606605301948,-0.17817894323062566,-0.568773276987953,-0.8166212301447431,-0.9047119867527552,-0.33934807256730604
