Empresa,classeLocalizacao,IDHM_R,anosFidelidadeCliente,codigoClasseBonus,codigoClasseLocalizacao,codigoFamiliaVeiculo,codigoMarcaVeiculo,codigoSucursal,codigoTipoVeiculo,diaSemana,diferencaPremioAntNovo,premioLiquidoPagoApolice,valorDiferencaPremioAnual,valorFranquia,valorImportanciaSeguradaCasco,valorPremioFinal,valorPremioPagoAtual
PORTO,10,0.9616284071956848,1.7872879932854815,1.1142513101415679,-0.4081160621061409,-1.0964244585958005,1.1139083649322836,-0.10644910114942216,-0.6435532470474603,-1.1194268927801458,-0.2331408482970729,0.15415832376255714,0.20983015294607246,-0.7830228586196162,0.09516829234056054,0.2992876840585217,-0.02638299163338536
PORTO,10,0.0022423168490516825,-0.7319710383522171,-1.2168137472026606,-0.1645667661587575,-0.899472056386452,-0.6499179192067734,1.7923471879030481,1.906276348938044,1.0380532440669281,0.5576541539699295,-0.5002741105633278,-0.3038173204393461,-0.4464857249316576,-0.4891915943689002,-0.2413994991523851,-0.05411005151558293
PORTO,11,0.9616284071956848,0.043185586767074916,-0.4397920614212511,-0.5298907100798326,-1.2277260600686997,-0.6499179192067734,0.37755779606003104,1.85044066435442,1.5774232782786959,-0.19708955514150525,-0.2692971414879581,0.0076550442691645905,-0.4537806049971479,-0.4882187685058546,0.037320934921324316,-0.3784052679495397
PORTO,11,0.9616284071956848,1.2059205244460127,0.8552440815477648,-0.4081160621061409,0.6104963605518868,1.6090174973221945,-0.10644910114942216,-0.7366127213535006,-0.04068682435660899,0.09167268169069508,-0.20439337593570786,-0.1393338099093818,0.9619124530456952,0.34437780550076297,-0.13207925658169087,-0.1177468915387858
PORTO,12,0.43396605750503386,-0.15060356951274806,0.5962368529539617,-0.4081160621061409,1.070051965707033,1.2995742895785003,0.5637142949867437,-0.6435532470474603,1.5774232782786959,1.3850766039969526,0.9915417143203412,0.8161818684594374,0.9181431726527526,-0.2578251311845592,1.2514831279820624,1.856426412429568
PORTO,13,0.0022423168490516825,1.01213136816619,1.1142513101415679,0.8096304176307758,-1.0964244585958005,1.2995742895785003,-1.223388094709699,-0.4760461932965878,1.5774232782786959,-0.25382327636167545,-0.5917911936571951,-0.2457030868243107,-0.4834464505968091,-0.12367007192455873,-0.25995957759002203,-0.7056308899764765
AZUL,10,0.43396605750503386,-0.7319710383522171,-1.4758209757964638,-0.7734400060272159,-0.899472056386452,-0.5880292776580346,-1.1116941953536712,-0.4760461932965878,-0.04068682435660899,-1.9263903843694876,1.9018447628425972,-2.7490673286988034,-0.3769412016406488,0.29082492811310456,-2.0013884898923604,0.3416801804053726
AZUL,10,0.5299046665396991,-0.3443927257925711,1.1142513101415679,2.8797994331835337,1.135702766443483,-0.3714190322374487,-0.9627689962123008,-0.23409156010088294,1.0380532440669281,-0.1259106842479722,-0.36604951763652105,-0.15491233452899356,-0.09633148178811686,-0.1549291023756216,-0.1994128224078284,-0.4146270440381004
AZUL,11,0.43396605750503386,3.337601243524065,1.1142513101415679,-0.4081160621061409,-1.0964244585958005,-0.4951963153349263,0.2658638967040033,-0.4388224035741716,-1.6587969269919145,-0.8152311153113373,1.1552850390800462,0.8682348305336398,-0.4197378313581927,-0.3809469215100177,1.1240734960852017,0.4568767978770605
AZUL,11,0.9616284071956848,1.01213136816619,1.1142513101415679,-0.2863414141324492,0.6104963605518868,1.423351572675978,0.2658638967040033,-0.7180008264922926,-0.5800568585683774,-0.36354307339345693,-0.11316752768726712,0.1437362515733886,-0.1702529331184199,-0.3041411332495611,0.2275134188516636,-0.35619146975124993
